fitness:-20750.000000  angle:-29.396191  fitness:-20936.000000  angle:-39.948881  fitness:-19924.000000  angle:-28.723258  fitness:-27760.000000  angle:9.699850  fitness:-26520.000000  angle:24.301126  fitness:-24476.000000  angle:32.719657  fitness:-20493.000000  angle:-39.948881  fitness:-26605.000000  angle:32.719657  fitness:-19924.000000  angle:-28.723258  fitness:-23791.000000  angle:32.719657  fitness:-24738.000000  angle:17.805261  fitness:-25253.000000  angle:9.699850  fitness:-19375.000000  angle:-39.948881  fitness:-22862.000000  angle:32.087924  fitness:-26255.000000  angle:32.719657  fitness:-24824.000000  angle:24.301126  fitness:-18629.000000  angle:-39.948881  fitness:-19786.000000  angle:-28.649098  fitness:-26255.000000  angle:32.719657  fitness:-19924.000000  angle:-28.723258  
fitness:-25674.000000  angle:9.699850  fitness:-20259.000000  angle:-28.723258  fitness:-19924.000000  angle:-28.723258  fitness:-27760.000000  angle:9.699850  fitness:-19785.000000  angle:-30.898618  fitness:-20660.000000  angle:-28.649098  fitness:-26739.000000  angle:32.087924  fitness:-23316.000000  angle:24.301126  fitness:-26605.000000  angle:32.719657  fitness:-26605.000000  angle:32.719657  fitness:-20872.000000  angle:-28.723258  fitness:-19924.000000  angle:-28.723258  fitness:-23791.000000  angle:32.719657  fitness:-23791.000000  angle:32.719657  fitness:-26605.000000  angle:32.719657  fitness:-26255.000000  angle:32.719657  fitness:-24476.000000  angle:32.719657  fitness:-24824.000000  angle:24.301126  fitness:-26307.000000  angle:24.301126  fitness:-26084.000000  angle:32.719657  
fitness:-26084.000000  angle:32.719657  fitness:-19804.000000  angle:-28.723258  fitness:-26550.000000  angle:24.301126  fitness:-19519.000000  angle:-28.723258  fitness:-20638.000000  angle:-39.948881  fitness:-20489.000000  angle:-33.321177  fitness:-26550.000000  angle:24.301126  fitness:-20620.000000  angle:-30.898618  fitness:-23508.000000  angle:-10.350810  fitness:-26618.000000  angle:32.087924  fitness:-19519.000000  angle:-28.723258  fitness:-26307.000000  angle:24.301126  fitness:-18629.000000  angle:-39.948881  fitness:-26605.000000  angle:32.719657  fitness:-20900.000000  angle:-30.898618  fitness:-19924.000000  angle:-28.723258  fitness:-23791.000000  angle:32.719657  fitness:-26605.000000  angle:32.719657  fitness:-24476.000000  angle:32.719657  fitness:-26739.000000  angle:32.087924  
fitness:-19519.000000  angle:-28.723258  fitness:-19375.000000  angle:-39.948881  fitness:-19785.000000  angle:-30.898618  fitness:-20638.000000  angle:-39.948881  fitness:-20872.000000  angle:-28.723258  fitness:-19677.000000  angle:-30.912351  fitness:-26605.000000  angle:32.719657  fitness:-26618.000000  angle:32.087924  fitness:-26618.000000  angle:32.087924  fitness:-23791.000000  angle:32.719657  fitness:-20900.000000  angle:-30.898618  fitness:-19673.000000  angle:-30.898618  fitness:-24525.000000  angle:32.087924  fitness:-26605.000000  angle:32.719657  fitness:-27473.000000  angle:13.553423  fitness:-26550.000000  angle:24.301126  fitness:-19519.000000  angle:-28.723258  fitness:-19924.000000  angle:-28.723258  fitness:-20423.000000  angle:-39.948881  fitness:-23791.000000  angle:32.719657  
fitness:-27132.000000  angle:16.668142  fitness:-26605.000000  angle:32.719657  fitness:-24385.000000  angle:20.774407  fitness:-20872.000000  angle:-28.723258  fitness:-20953.000000  angle:-28.723258  fitness:-20540.000000  angle:-30.898618  fitness:-19804.000000  angle:-28.723258  fitness:-19375.000000  angle:-39.948881  fitness:-20620.000000  angle:-30.898618  fitness:-20900.000000  angle:-30.898618  fitness:-19804.000000  angle:-28.723258  fitness:-24044.000000  angle:22.963500  fitness:-23791.000000  angle:32.719657  fitness:-19519.000000  angle:-28.723258  fitness:-23791.000000  angle:32.719657  fitness:-24476.000000  angle:32.719657  fitness:-19673.000000  angle:-30.898618  fitness:-26255.000000  angle:32.719657  fitness:-26550.000000  angle:24.301126  fitness:-26618.000000  angle:32.087924  
fitness:-18629.000000  angle:-39.948881  fitness:-24800.000000  angle:32.719657  fitness:-20774.000000  angle:-28.723258  fitness:-26255.000000  angle:32.719657  fitness:-24385.000000  angle:20.774407  fitness:-20195.000000  angle:-39.948881  fitness:-25048.000000  angle:7.019105  fitness:-23712.000000  angle:25.850246  fitness:-26255.000000  angle:32.719657  fitness:-26550.000000  angle:24.301126  fitness:-26618.000000  angle:32.087924  fitness:-20953.000000  angle:-28.723258  fitness:-19375.000000  angle:-39.948881  fitness:-20872.000000  angle:-28.723258  fitness:-19804.000000  angle:-28.723258  fitness:-19816.000000  angle:-28.723258  fitness:-26422.000000  angle:22.963500  fitness:-19788.000000  angle:-32.442244  fitness:-23791.000000  angle:32.719657  fitness:-20872.000000  angle:-28.723258  
fitness:-23712.000000  angle:25.850246  fitness:-22792.000000  angle:32.719657  fitness:-26489.000000  angle:0.970946  fitness:-20872.000000  angle:-28.723258  fitness:-24628.000000  angle:-0.814386  fitness:-26119.000000  angle:20.774407  fitness:-20638.000000  angle:-39.948881  fitness:-26422.000000  angle:22.963500  fitness:-26255.000000  angle:32.719657  fitness:-23786.000000  angle:32.087924  fitness:-20872.000000  angle:-28.723258  fitness:-19924.000000  angle:-28.723258  fitness:-19804.000000  angle:-28.723258  fitness:-24628.000000  angle:22.963500  fitness:-26205.000000  angle:26.468245  fitness:-20774.000000  angle:-28.723258  fitness:-19375.000000  angle:-39.948881  fitness:-25888.000000  angle:22.963500  fitness:-20638.000000  angle:-39.948881  fitness:-19519.000000  angle:-28.723258  
fitness:-20872.000000  angle:-28.723258  fitness:-20872.000000  angle:-28.723258  fitness:-20774.000000  angle:-28.723258  fitness:-26205.000000  angle:26.468245  fitness:-24628.000000  angle:22.963500  fitness:-19804.000000  angle:-28.723258  fitness:-26255.000000  angle:32.719657  fitness:-22792.000000  angle:32.719657  fitness:-19375.000000  angle:-39.948881  fitness:-24628.000000  angle:22.963500  fitness:-20638.000000  angle:-39.948881  fitness:-26422.000000  angle:22.963500  fitness:-20773.000000  angle:-28.723258  fitness:-26605.000000  angle:32.719657  fitness:-26547.000000  angle:25.850246  fitness:-20591.000000  angle:-37.677389  fitness:-20638.000000  angle:-39.948881  fitness:-26276.000000  angle:25.850246  fitness:-20638.000000  angle:-39.948881  fitness:-24628.000000  angle:22.963500  
fitness:-22742.000000  angle:25.850246  fitness:-26276.000000  angle:25.850246  fitness:-24628.000000  angle:22.963500  fitness:-24628.000000  angle:22.963500  fitness:-24599.000000  angle:25.850246  fitness:-26422.000000  angle:22.963500  fitness:-20872.000000  angle:-28.723258  fitness:-21033.000000  angle:-23.147526  fitness:-24628.000000  angle:22.963500  fitness:-20638.000000  angle:-39.948881  fitness:-19375.000000  angle:-39.948881  fitness:-22792.000000  angle:32.719657  fitness:-23712.000000  angle:25.850246  fitness:-20591.000000  angle:-37.677389  fitness:-20774.000000  angle:-28.723258  fitness:-22792.000000  angle:32.719657  fitness:-26205.000000  angle:26.468245  fitness:-26205.000000  angle:26.468245  fitness:-24645.000000  angle:18.038728  fitness:-20591.000000  angle:-37.677389  
fitness:-24628.000000  angle:22.963500  fitness:-20638.000000  angle:-39.948881  fitness:-23712.000000  angle:25.850246  fitness:-26779.000000  angle:18.038728  fitness:-23133.000000  angle:22.963500  fitness:-24476.000000  angle:32.719657  fitness:-20591.000000  angle:-37.677389  fitness:-23712.000000  angle:25.850246  fitness:-19375.000000  angle:-39.948881  fitness:-26276.000000  angle:25.850246  fitness:-24580.000000  angle:26.468245  fitness:-24645.000000  angle:18.038728  fitness:-23712.000000  angle:25.850246  fitness:-24599.000000  angle:25.850246  fitness:-23712.000000  angle:25.850246  fitness:-26624.000000  angle:22.361980  fitness:-24599.000000  angle:25.850246  fitness:-24474.000000  angle:32.719657  fitness:-22930.000000  angle:26.468245  fitness:-26205.000000  angle:26.468245  
fitness:-26255.000000  angle:32.719657  fitness:-18776.000000  angle:-39.948881  fitness:-23712.000000  angle:25.850246  fitness:-19375.000000  angle:-39.948881  fitness:-26527.000000  angle:26.468245  fitness:-24354.000000  angle:-2.022919  fitness:-24599.000000  angle:25.850246  fitness:-24580.000000  angle:26.468245  fitness:-26276.000000  angle:25.850246  fitness:-24628.000000  angle:22.963500  fitness:-22823.000000  angle:32.933897  fitness:-24599.000000  angle:25.850246  fitness:-26422.000000  angle:22.963500  fitness:-23712.000000  angle:25.850246  fitness:-24476.000000  angle:32.719657  fitness:-24599.000000  angle:25.850246  fitness:-20638.000000  angle:-39.948881  fitness:-19811.000000  angle:-37.677389  fitness:-23133.000000  angle:22.963500  fitness:-23712.000000  angle:25.850246  
fitness:-24580.000000  angle:26.468245  fitness:-24599.000000  angle:25.850246  fitness:-24599.000000  angle:25.850246  fitness:-24580.000000  angle:26.468245  fitness:-26276.000000  angle:25.850246  fitness:-20591.000000  angle:-37.677389  fitness:-23876.000000  angle:36.463363  fitness:-19375.000000  angle:-39.948881  fitness:-20423.000000  angle:-39.948881  fitness:-24599.000000  angle:25.850246  fitness:-24599.000000  angle:25.850246  fitness:-24599.000000  angle:25.850246  fitness:-23712.000000  angle:25.850246  fitness:-25861.000000  angle:32.933897  fitness:-18776.000000  angle:-39.948881  fitness:-18629.000000  angle:-39.948881  fitness:-18776.000000  angle:-39.948881  fitness:-18776.000000  angle:-39.948881  fitness:-24580.000000  angle:26.468245  fitness:-24354.000000  angle:-2.022919  
